project_id,label,close_rate,close_time
16212,Multi,0.5521,154.4717
16214,"No Label",0.8513,397.5985
16245,Multi,0.8514,169.6509
16278,Multi,0.7918,106.2582
16333,Multi,0.9582,121.2381
16356,Multi,0.9751,222.7023
16416,Multi,0.7648,197.6994
16537,Multi,0.8241,397.5595
16560,Multi,0.9073,109.8511
16618,Multi,0.7589,408.2282
16693,Multi,0.8652,145.5666
16718,Single,0.8513,215.4541
16719,Multi,0.9752,40.0500
16729,Multi,0.9735,63.3292
16779,Multi,0.8898,100.6415
16882,Single,0.8126,169.1153
16922,Multi,0.9382,189.9921
16929,Multi,0.7840,64.0667
16948,Multi,0.9901,185.3601
16980,Multi,0.6851,25.5528
16997,Multi,0.9956,190.7522
16998,Multi,0.6632,67.7783
17000,"No Label",0.6673,391.6959
17113,Multi,0.6951,202.7316
17165,Multi,0.9579,128.9048
17263,Multi,0.9339,372.1298
17270,Multi,0.9294,166.2068
17288,Multi,0.5148,126.9597
17317,"No Label",0.9794,26.0280
17318,Multi,0.7336,19.6634
17384,Multi,0.8510,86.5121
17387,Multi,0.9906,576.6554
17403,"No Label",0.6104,39.3404
17472,Multi,0.7187,85.0385
17473,Multi,0.6565,205.2052
17481,Multi,0.7657,197.8966
17519,Multi,0.4931,111.4140
17530,Multi,0.4882,137.2718
17589,Multi,0.8525,112.4108
17635,Multi,0.9735,57.0246
17735,Multi,0.8491,193.1891
17742,Multi,0.9908,35.1071
17807,Multi,0.5673,136.6289
17834,Multi,0.8778,59.1031
17867,Multi,0.7492,86.5579
17884,Multi,0.9791,61.7936
17952,"No Label",0.8628,86.2513
17959,Multi,0.9989,29.4658
17969,Multi,0.5815,69.2594
17971,Multi,0.8965,136.7301
18045,Multi,0.9582,303.5418
18076,Multi,0.9231,58.5972
18081,Single,0.9894,124.6904
18089,Multi,0.9662,33.6465
18090,Multi,0.9344,406.9795
18104,Multi,0.8591,50.9436
18119,Multi,0.9029,716.7056
18129,Multi,0.7181,49.6074
18152,Multi,0.8758,173.3358
18170,Multi,0.8911,165.9248
18251,Multi,0.8773,57.7793
18260,Multi,0.8683,72.4663
18336,Multi,0.8615,85.5893
18337,Multi,0.9037,97.6967
18351,"No Label",0.5311,49.0897
18390,"No Label",0.7736,135.1561
18411,Multi,0.9761,199.1198
18419,Multi,0.7941,294.3137
18535,"No Label",0.5503,39.2306
18588,Multi,0.8398,106.8127
18659,Multi,0.9196,299.9369
18716,Multi,0.8288,154.8571
18795,Multi,0.8927,45.4269
18825,Multi,0.7604,76.0868
18883,Multi,0.9087,273.9045
18966,Multi,0.7148,294.2766
18976,Single,0.9918,22.0992
18987,Multi,0.8000,542.6757
19054,"No Label",0.5481,46.7719
19093,Multi,0.9212,97.2796
19111,Multi,0.6083,102.4227
19117,Multi,0.9781,632.6525
19181,Multi,0.9205,141.6042
19194,"No Label",0.9798,90.1216
19246,Multi,0.8067,89.7471
19258,Single,0.9642,211.0962
19317,Multi,0.9915,287.0894
19349,Multi,0.8064,87.1147
19371,Multi,0.6754,90.9641
19377,Multi,0.5173,249.0300
19388,Multi,0.5353,93.3646
19411,Multi,0.8272,323.9415
